first_name,prop_female
ADAGIR,0.0
ADAGMAR,0.8414096916299559
ADAGOBERTO,0.0
ADAGUIMAR,1.0
ADAH,1.0
ADAHIL,0.25
ADAHIR,0.5510204081632653
ADAHYR,1.0
ADAI,0.23055555555555557
ADAIA,1.0
ADAIANA,1.0
ADAIANE,1.0
ADAIAS,0.06757679180887372
ADAIDE,0.6118421052631579
ADAIDES,0.5026737967914439
ADAIDO,0.0
ADAIENE,1.0
ADAIL,0.14510575504181014
ADAILA,1.0
ADAILANE,1.0
ADAILCE,1.0
ADAILDA,1.0
ADAILDE,0.8604923798358733
ADAILDES,0.8806584362139918
ADAILDO,0.0
ADAILIO,0.0
ADAILMA,1.0
ADAILO,0.0
ADAILSA,1.0
ADAILSE,1.0
ADAILSO,0.0
ADAILSOM,0.0
ADAILSON,0.0057271920625957895
ADAILTA,1.0
ADAILTO,0.0
ADAILTOM,0.0
ADAILTON,0.0032358003442340792
ADAILVA,1.0
ADAILZA,1.0
ADAILZE,1.0
ADAILZO,0.0
ADAINA,1.0
ADAINE,1.0
ADAIR,0.14024609843937574
ADAIRA,1.0
ADAIRES,0.6
ADAIRO,0.0
ADAIRSON,0.0
ADAIRTO,0.0
ADAIRTON,0.0
ADAIS,0.63
ADAISA,1.0
ADAISE,1.0
ADAISO,0.0
ADAITO,0.0
ADAITON,0.0
ADAIU,0.17435897435897435
ADAIZA,1.0
ADAIZE,1.0
ADAIZIO,0.0
ADAIZO,0.0
ADAL,0.0
ADALA,1.0
ADALARDO,0.0
ADALBER,0.0
ADALBERIO,0.0
ADALBERON,0.0
ADALBERT,0.0
ADALBERTA,1.0
ADALBERTO,0.0031362937731068
ADALBETO,0.0
ADALCI,0.5910780669144982
ADALCIDES,0.0
ADALCILENE,1.0
ADALCIMAR,0.0
ADALCINA,1.0
ADALCINDA,1.0
ADALCINDO,0.0
ADALCINO,0.0
ADALCIO,0.0
ADALCIR,0.28695652173913044
ADALCIRA,1.0
ADALCY,0.6632653061224489
ADALDO,0.0
ADALEA,1.0
ADALECIO,0.0
ADALEIA,1.0
ADALENA,1.0
ADALENE,1.0
ADALETE,1.0
ADALEX,0.0
ADALFO,0.0
ADALFRAN,0.0
ADALFREDO,0.0
ADALGILZA,1.0
ADALGINA,1.0
ADALGIR,0.0
ADALGISA,0.9974908520648197
ADALGISIA,1.0
ADALGISIO,0.0
ADALGISO,0.0
ADALGIZA,1.0
ADALGIZIA,1.0
ADALGIZIO,0.0
ADALGIZO,0.0
ADALHA,1.0
ADALI,0.6754385964912281
ADALIA,1.0
ADALIANA,1.0
ADALIANE,1.0
ADALIBIO,0.0
ADALICE,0.9780893952673094
ADALICI,1.0
ADALICIA,1.0
ADALICIO,0.0
ADALIDA,1.0
ADALIENE,1.0
ADALINE,1.0
ADALIO,0.0
ADALIPIO,0.0
ADALIR,0.6025641025641025
ADALIRA,1.0
ADALIRIA,1.0
ADALIRIO,0.0
ADALIS,1.0
ADALISA,1.0
ADALISIO,0.0
ADALIVIA,1.0
ADALIZA,1.0
ADALMA,1.0
ADALMAR,0.0
ADALMARIO,0.0
ADALMI,0.3076923076923077
ADALMIR,0.031781226903178125
ADALMIRA,1.0
ADALMIRO,0.0
ADALMO,0.0
ADALRI,0.0
ADALRIR,0.0
ADALSO,0.0
ADALSON,0.0
ADALTA,1.0
ADALTINO,0.0
ADALTIVA,1.0
ADALTIVO,0.0
ADALTO,0.0029829160263942873
ADALTOM,0.0
ADALTON,0.0036091431626787862
ADALTRO,0.0
ADALUCIA,1.0
ADALVA,1.0
ADALVAN,0.0
ADALVANI,1.0
ADALVANIR,1.0
ADALVINA,1.0
ADALVINO,0.0
ADALVIR,0.0
ADALVO,0.0
